country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-04-2026 13:00:00",27.103358,93.679645,CO,6,18,11
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","02-04-2026 13:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-04-2026 13:00:00",26.071318,91.87488,PM10,79,174,111
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-04-2026 13:00:00",26.071318,91.87488,NO2,1,16,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","02-04-2026 13:00:00",26.071318,91.87488,CO,4,104,67
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","02-04-2026 13:00:00",26.10887,91.589544,NH3,2,11,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","02-04-2026 13:00:00",26.10887,91.589544,CO,15,83,57
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","02-04-2026 13:00:00",26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","02-04-2026 13:00:00",26.187500,91.744194,SO2,9,11,10
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","02-04-2026 13:00:00",26.187500,91.744194,OZONE,9,25,18
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-04-2026 13:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-04-2026 13:00:00",26.181742,91.78063,NH3,1,1,1
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","02-04-2026 13:00:00",26.181742,91.78063,CO,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","02-04-2026 13:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","02-04-2026 13:00:00",24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","02-04-2026 13:00:00",24.75746,84.366208,CO,101,103,102
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","02-04-2026 13:00:00",24.75746,84.366208,OZONE,5,35,20
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","02-04-2026 13:00:00",25.42742023,86.13886079,PM10,51,158,92
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","02-04-2026 13:00:00",25.42742023,86.13886079,SO2,40,44,42
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","02-04-2026 13:00:00",26.80365,84.51954,PM2.5,3,42,20
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","02-04-2026 13:00:00",26.80365,84.51954,CO,28,43,37
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","02-04-2026 13:00:00",25.251013,86.989001,CO,2,38,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","02-04-2026 13:00:00",25.265194,87.012947,PM10,41,71,51
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","02-04-2026 13:00:00",25.265194,87.012947,NO2,7,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","02-04-2026 13:00:00",25.265194,87.012947,SO2,44,54,49
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","02-04-2026 13:00:00",26.349082,92.68449,PM10,47,82,65
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","02-04-2026 13:00:00",26.349082,92.68449,NO2,9,35,17
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","02-04-2026 13:00:00",26.446912,91.439057,NH3,6,6,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","02-04-2026 13:00:00",26.446912,91.439057,SO2,2,8,7
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","02-04-2026 13:00:00",26.446912,91.439057,OZONE,3,17,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA","02-04-2026 13:00:00",24.82827,92.79525,NO2,24,34,29
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","02-04-2026 13:00:00",26.987634,94.636574,SO2,7,12,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","02-04-2026 13:00:00",26.146529,87.454184,CO,18,28,25
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-04-2026 13:00:00",25.5626095,84.663264,PM10,17,103,51
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-04-2026 13:00:00",25.5626095,84.663264,NO2,5,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","02-04-2026 13:00:00",25.5626095,84.663264,SO2,5,6,5
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","02-04-2026 13:00:00",25.204762,85.514960,OZONE,2,2,2
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-04-2026 13:00:00",25.567520,83.966379,PM10,33,57,46
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-04-2026 13:00:00",25.567520,83.966379,SO2,21,34,29
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","02-04-2026 13:00:00",25.567520,83.966379,OZONE,2,27,10
